sourceLabel,sourceNodeType,targetLabel,targetNodeType,relationType
石家庄市,places:City,阳泉市,places:City,毗邻
石家庄市,places:City,保定市,places:City,毗邻
石家庄市,places:City,忻州市,places:City,毗邻
石家庄市,places:City,邢台市,places:City,毗邻
石家庄市,places:City,晋中市,places:City,毗邻
石家庄市,places:City,衡水市,places:City,毗邻
邢台市,places:City,晋中市,places:City,毗邻
邢台市,places:City,衡水市,places:City,毗邻
邢台市,places:City,德州市,places:City,毗邻
邢台市,places:City,邯郸市,places:City,毗邻
邢台市,places:City,聊城市,places:City,毗邻
保定市,places:City,忻州市,places:City,毗邻
保定市,places:City,大同市,places:City,毗邻
保定市,places:City,沧州市,places:City,毗邻
保定市,places:City,衡水市,places:City,毗邻
保定市,places:City,廊坊市,places:City,毗邻
保定市,places:City,北京市(市),places:City,毗邻
保定市,places:City,张家口市,places:City,毗邻
衡水市,places:City,邢台市,places:City,毗邻
衡水市,places:City,沧州市,places:City,毗邻
衡水市,places:City,保定市,places:City,毗邻
衡水市,places:City,德州市,places:City,毗邻
阳泉市,places:City,晋中市,places:City,毗邻
阳泉市,places:City,太原市,places:City,毗邻
阳泉市,places:City,忻州市,places:City,毗邻
晋中市,places:City,邢台市,places:City,毗邻
晋中市,places:City,长治市,places:City,毗邻
晋中市,places:City,邯郸市,places:City,毗邻
晋中市,places:City,吕梁市,places:City,毗邻
晋中市,places:City,临汾市,places:City,毗邻
晋中市,places:City,太原市,places:City,毗邻
晋中市,places:City,阳泉市,places:City,毗邻
忻州市,places:City,太原市,places:City,毗邻
忻州市,places:City,呼和浩特市,places:City,毗邻
忻州市,places:City,阳泉市,places:City,毗邻
忻州市,places:City,大同市,places:City,毗邻
忻州市,places:City,朔州市,places:City,毗邻
忻州市,places:City,保定市,places:City,毗邻
忻州市,places:City,鄂尔多斯市,places:City,毗邻
忻州市,places:City,榆林市,places:City,毗邻
忻州市,places:City,吕梁市,places:City,毗邻
藁城区,places:County,石家庄市,places:City,县、区级行政单位隶属于…市级行政单位
鹿泉区,places:County,石家庄市,places:City,县、区级行政单位隶属于…市级行政单位
井陉县,places:County,石家庄市,places:City,县、区级行政单位隶属于…市级行政单位
深泽县,places:County,石家庄市,places:City,县、区级行政单位隶属于…市级行政单位
辛集市,places:County,石家庄市,places:City,县、区级行政单位隶属于…市级行政单位
宁晋县,places:County,邢台市,places:City,县、区级行政单位隶属于…市级行政单位
巨鹿县,places:County,邢台市,places:City,县、区级行政单位隶属于…市级行政单位
沙河市,places:County,邢台市,places:City,县、区级行政单位隶属于…市级行政单位
清苑区,places:County,保定市,places:City,县、区级行政单位隶属于…市级行政单位
徐水区,places:County,保定市,places:City,县、区级行政单位隶属于…市级行政单位
涞水县,places:County,保定市,places:City,县、区级行政单位隶属于…市级行政单位
定兴县,places:County,保定市,places:City,县、区级行政单位隶属于…市级行政单位
高阳县,places:County,保定市,places:City,县、区级行政单位隶属于…市级行政单位
安新县,places:County,保定市,places:City,县、区级行政单位隶属于…市级行政单位
易县,places:County,保定市,places:City,县、区级行政单位隶属于…市级行政单位
顺平县,places:County,保定市,places:City,县、区级行政单位隶属于…市级行政单位
博野县,places:County,保定市,places:City,县、区级行政单位隶属于…市级行政单位
雄县,places:County,保定市,places:City,县、区级行政单位隶属于…市级行政单位
定州市,places:County,保定市,places:City,县、区级行政单位隶属于…市级行政单位
安国市,places:County,保定市,places:City,县、区级行政单位隶属于…市级行政单位
高碑店市,places:County,保定市,places:City,县、区级行政单位隶属于…市级行政单位
枣强县,places:County,衡水市,places:City,县、区级行政单位隶属于…市级行政单位
安平县,places:County,衡水市,places:City,县、区级行政单位隶属于…市级行政单位
景县,places:County,衡水市,places:City,县、区级行政单位隶属于…市级行政单位
平定县,places:County,阳泉市,places:City,县、区级行政单位隶属于…市级行政单位
