城市,城市名,县区,县区坐标（经纬度）,县区名,离荆门市的距离（km）,城市关联的乐种,城市关联的乐种名,县区关联的乐种,县区关联的乐种名,涉及特藏,特藏资源名
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420802""","""POINT(112.20173 31.05192)""",东宝区,"""0.0""","""https://lib.ccmusic.edu.cn/data/musictype/jQdv72gllM47O2p8""",府河傢业-大乐,,,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420802""","""POINT(112.20173 31.05192)""",东宝区,"""0.0""","""https://lib.ccmusic.edu.cn/data/musictype/9O7rprb6Sg3HPuxT""",天沔小曲,,,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420802""","""POINT(112.20173 31.05192)""",东宝区,"""0.0""","""https://lib.ccmusic.edu.cn/data/musictype/Bt7pbK574ApCaGIp""",府河傢业-细乐,,,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420802""","""POINT(112.20173 31.05192)""",东宝区,"""0.0""","""https://lib.ccmusic.edu.cn/data/musictype/G3O4zL9D73p0lUqR""",襄河吹打,,,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420802""","""POINT(112.20173 31.05192)""",东宝区,"""0.0""","""https://lib.ccmusic.edu.cn/data/musictype/o69FRxkW56t5Qav7""",梁山调,,,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420802""","""POINT(112.20173 31.05192)""",东宝区,"""0.0""","""https://lib.ccmusic.edu.cn/data/musictype/1Y2s69I70AS30YTN""",府河傢业,,,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420802""","""POINT(112.20173 31.05192)""",东宝区,"""0.0""","""https://lib.ccmusic.edu.cn/data/musictype/dIEF3fb9kGRe7Tcm""",府河傢业-打板乐,,,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420804""","""POINT(112.20772 30.97307)""",掇刀区,"""8.78137""","""https://lib.ccmusic.edu.cn/data/musictype/G3O4zL9D73p0lUqR""",襄河吹打,,,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420804""","""POINT(112.20772 30.97307)""",掇刀区,"""8.78137""","""https://lib.ccmusic.edu.cn/data/musictype/dIEF3fb9kGRe7Tcm""",府河傢业-打板乐,,,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420804""","""POINT(112.20772 30.97307)""",掇刀区,"""8.78137""","""https://lib.ccmusic.edu.cn/data/musictype/o69FRxkW56t5Qav7""",梁山调,,,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420804""","""POINT(112.20772 30.97307)""",掇刀区,"""8.78137""","""https://lib.ccmusic.edu.cn/data/musictype/jQdv72gllM47O2p8""",府河傢业-大乐,,,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420804""","""POINT(112.20772 30.97307)""",掇刀区,"""8.78137""","""https://lib.ccmusic.edu.cn/data/musictype/1Y2s69I70AS30YTN""",府河傢业,,,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420804""","""POINT(112.20772 30.97307)""",掇刀区,"""8.78137""","""https://lib.ccmusic.edu.cn/data/musictype/9O7rprb6Sg3HPuxT""",天沔小曲,,,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420804""","""POINT(112.20772 30.97307)""",掇刀区,"""8.78137""","""https://lib.ccmusic.edu.cn/data/musictype/Bt7pbK574ApCaGIp""",府河傢业-细乐,,,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420881""","""POINT(112.58817 31.16797)""",钟祥市,"""38.9657""","""https://lib.ccmusic.edu.cn/data/musictype/1Y2s69I70AS30YTN""",府河傢业,"""https://lib.ccmusic.edu.cn/data/musictype/o69FRxkW56t5Qav7""",梁山调,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420881""","""POINT(112.58817 31.16797)""",钟祥市,"""38.9657""","""https://lib.ccmusic.edu.cn/data/musictype/9O7rprb6Sg3HPuxT""",天沔小曲,"""https://lib.ccmusic.edu.cn/data/musictype/o69FRxkW56t5Qav7""",梁山调,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420881""","""POINT(112.58817 31.16797)""",钟祥市,"""38.9657""","""https://lib.ccmusic.edu.cn/data/musictype/dIEF3fb9kGRe7Tcm""",府河傢业-打板乐,"""https://lib.ccmusic.edu.cn/data/musictype/o69FRxkW56t5Qav7""",梁山调,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420881""","""POINT(112.58817 31.16797)""",钟祥市,"""38.9657""","""https://lib.ccmusic.edu.cn/data/musictype/Bt7pbK574ApCaGIp""",府河傢业-细乐,"""https://lib.ccmusic.edu.cn/data/musictype/o69FRxkW56t5Qav7""",梁山调,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420881""","""POINT(112.58817 31.16797)""",钟祥市,"""38.9657""","""https://lib.ccmusic.edu.cn/data/musictype/G3O4zL9D73p0lUqR""",襄河吹打,"""https://lib.ccmusic.edu.cn/data/musictype/o69FRxkW56t5Qav7""",梁山调,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420881""","""POINT(112.58817 31.16797)""",钟祥市,"""38.9657""","""https://lib.ccmusic.edu.cn/data/musictype/jQdv72gllM47O2p8""",府河傢业-大乐,"""https://lib.ccmusic.edu.cn/data/musictype/o69FRxkW56t5Qav7""",梁山调,,
"""https://lib.ccmusic.edu.cn/data/place/420800""",荆门市,"""https://lib.ccmusic.edu.cn/data/place/420881""","""POINT(112.58817 31.16797)""",钟祥市,"""38.9657""","""https://lib.ccmusic.edu.cn/data/musictype/o69FRxkW56t5Qav7""",梁山调,"""https://lib.ccmusic.edu.cn/data/musictype/o69FRxkW56t5Qav7""",梁山调,,
"""https://lib.ccmusic.edu.cn/data/place/420500""",宜昌市,"""https://lib.ccmusic.edu.cn/data/place/420582""","""POINT(111.78833 30.82108)""",当阳市,"""47.0211""","""https://lib.ccmusic.edu.cn/data/musictype/2jcB25UV74N8KFeI""",宜昌细乐,"""https://lib.ccmusic.edu.cn/data/musictype/2jcB25UV74N8KFeI""",宜昌细乐,,
"""https://lib.ccmusic.edu.cn/data/place/420500""",宜昌市,"""https://lib.ccmusic.edu.cn/data/place/420582""","""POINT(111.78833 30.82108)""",当阳市,"""47.0211""","""https://lib.ccmusic.edu.cn/data/musictype/3S5WgP5NPbQ25122""",鄂北花鼓戏,"""https://lib.ccmusic.edu.cn/data/musictype/MS20BCvu7QKGsMc5""",江汉丝弦,,
"""https://lib.ccmusic.edu.cn/data/place/420500""",宜昌市,"""https://lib.ccmusic.edu.cn/data/place/420582""","""POINT(111.78833 30.82108)""",当阳市,"""47.0211""","""https://lib.ccmusic.edu.cn/data/musictype/CQ4CA101Z06u908G""",湖北小曲,"""https://lib.ccmusic.edu.cn/data/musictype/2jcB25UV74N8KFeI""",宜昌细乐,,
"""https://lib.ccmusic.edu.cn/data/place/420500""",宜昌市,"""https://lib.ccmusic.edu.cn/data/place/420582""","""POINT(111.78833 30.82108)""",当阳市,"""47.0211""","""https://lib.ccmusic.edu.cn/data/musictype/CQ4CA101Z06u908G""",湖北小曲,"""https://lib.ccmusic.edu.cn/data/musictype/MS20BCvu7QKGsMc5""",江汉丝弦,,
"""https://lib.ccmusic.edu.cn/data/place/420500""",宜昌市,"""https://lib.ccmusic.edu.cn/data/place/420582""","""POINT(111.78833 30.82108)""",当阳市,"""47.0211""","""https://lib.ccmusic.edu.cn/data/musictype/Ie4l9D4yzi5g799h""",远安花鼓戏,"""https://lib.ccmusic.edu.cn/data/musictype/MS20BCvu7QKGsMc5""",江汉丝弦,,
"""https://lib.ccmusic.edu.cn/data/place/420500""",宜昌市,"""https://lib.ccmusic.edu.cn/data/place/420582""","""POINT(111.78833 30.82108)""",当阳市,"""47.0211""","""https://lib.ccmusic.edu.cn/data/musictype/K52hXaVgcreKj8Zl""",沮水巫音,"""https://lib.ccmusic.edu.cn/data/musictype/MS20BCvu7QKGsMc5""",江汉丝弦,,
"""https://lib.ccmusic.edu.cn/data/place/420500""",宜昌市,"""https://lib.ccmusic.edu.cn/data/place/420582""","""POINT(111.78833 30.82108)""",当阳市,"""47.0211""","""https://lib.ccmusic.edu.cn/data/musictype/QE7O3BRP34v0yKJc""",宜都邦鼓,"""https://lib.ccmusic.edu.cn/data/musictype/MS20BCvu7QKGsMc5""",江汉丝弦,,
"""https://lib.ccmusic.edu.cn/data/place/420500""",宜昌市,"""https://lib.ccmusic.edu.cn/data/place/420582""","""POINT(111.78833 30.82108)""",当阳市,"""47.0211""","""https://lib.ccmusic.edu.cn/data/musictype/Up2RoJaEg1g6u1Q6""",湖北弦索乐,"""https://lib.ccmusic.edu.cn/data/musictype/2jcB25UV74N8KFeI""",宜昌细乐,,
"""https://lib.ccmusic.edu.cn/data/place/420500""",宜昌市,"""https://lib.ccmusic.edu.cn/data/place/420582""","""POINT(111.78833 30.82108)""",当阳市,"""47.0211""","""https://lib.ccmusic.edu.cn/data/musictype/drN25s8Le9w4P26z""",鄂西堂调,"""https://lib.ccmusic.edu.cn/data/musictype/2jcB25UV74N8KFeI""",宜昌细乐,,
"""https://lib.ccmusic.edu.cn/data/place/420500""",宜昌市,"""https://lib.ccmusic.edu.cn/data/place/420582""","""POINT(111.78833 30.82108)""",当阳市,"""47.0211""","""https://lib.ccmusic.edu.cn/data/musictype/drN25s8Le9w4P26z""",鄂西堂调,"""https://lib.ccmusic.edu.cn/data/musictype/MS20BCvu7QKGsMc5""",江汉丝弦,,
