nameOfInstrument,illustration
篆,在乐钟钟体上，“钲”的两旁，横排钟乳上下之间的纹饰称“篆”。《周礼·考工记·凫氏》：“钟带谓之篆。”程瑶田《凫氏为钟章句图说》：“钲带设于钲者谓之篆。”参见“钟”。
壮笛,壮族边棱音气鸣乐器，亦称“奴”。状语原意为“笛”。流传广西隆林、西林、田林、百色、德保、那坡、靖西等地。竹管截节，全长约38厘米，内径1.3厘米。吹孔距端首6厘米处，笛塞距孔0.5厘米处。指孔六。音域g1～g3，音色柔和稍实。用于戏曲，器乐，壮族传统器乐《八音》的主要乐器之一。
壮族三弦,壮族弹拨乐器。形类小三弦。流传于广西西部隆林、百色等地。以硬木制，腔面、底鞔蟒皮。全长约80～85厘米。鼓宽14～15厘米，厚5～6厘米。钢或丝弦三，定弦为a、e1、a1。主要用于演奏壮族《八音》和壮戏、曲艺伴奏。
壮族三弦,壮族弹拨乐器。形类小三弦。流传于广西西部隆林、百色等地。以硬木制，腔面、底鞔蟒皮。全长约80～85厘米。鼓宽14～15厘米，厚5～6厘米。钢或丝弦三，定弦为a、e1、a1。主要用于演奏壮族《八音》和壮戏、曲艺伴奏。
壮族唢呐,“波列”的俗称。
壮族小鼓,流传广西桂西各地。鼓框以木拼接，髹红漆，墩形，规格不一，侧设鼓环三，一般框高22厘米。两面腔口鞔牛皮，单排铜钉固定。面径约30厘米。置架或板凳，双锤击。用于《八音》乐队或节庆场合。
幢琴,弦鸣低音弓弦乐器。制于清代末。其形如塔，设四弦，系借鉴欧洲大提琴的改良乐器。《清朝续文献通考•乐七》：“幢琴形如宝塔，上锐下肥。系低音部拉弦乐器。通长三尺二寸，弦长二尺六寸。山口宽一寸六分。下股宽一尺一寸五分，边厚二寸。山口下装音板。弦下接覆手，长六寸八分。马高一寸五分。股下加柄长六寸。”二十世纪20年代，上海大同乐会曾制用。
幢箫,排箫形制之一。因系有佛教经幢故名，用於隋代法曲。《新唐书·礼乐志十二》：“初，隋有法曲，其音清而近雅。其器有铙、钹、钟、磬、幢箫、琵琶。”
坠板胡,为了适合伴奏豫剧、曲剧，刘光远把坠胡琴筒改成板胡琴筒，定弦：g1，e2。《乐器科技》1976年第4期。
坠二胡,1964年由济南前卫歌舞团民族乐队改革而成，在皮膜周围套一竹筒框，琴杆装有可拆卸的指板。
坠新胡,配备双毛弓，能拉，也能弹。由浙江省歌舞团李文武研制。《乐器》1986年第3期。
坠子,弦鸣拉弦乐器。
准2,音律律器。后魏陈仲儒设置。《魏书•乐志》：“有陈仲儒自江南归国，请依京房立准以以调音。其器面板平整，设弦十三，其中弦设轸，以黄钟律校音。弦下有刻度，标示六十律的算定长度。弦与面板上配以游标。”另有侧弦十二，设瑟柱调音。操作法同京房之准。《魏书•乐志》：“其准面平直如水，须如停水。其中弦一柱，高下须与二头临岳一等。移柱上下之时，不使离弦，不得举弦。又中弦粗细须与琴宫相类。中弦须施轸如琴，以轸调声，令与黄钟一管相合。中弦外依数尽出六十律清浊之节。其余十二弦须施柱如筝。又凡弦须预张，使临时不动。即于中弦案尽一周之声，度著十二弦上。然后依相生之法，以次运行。取十二律商徵，商徵既定，又依琴五调调声之法，以均乐器。”参见“准1”。
准1,弦鸣弹拨乐器，汉代京房设立得音律律器。系一种用弦来宣示十二律或六十律诸律音高的音高标准器。准的外形似瑟，长一丈。有效弦长为九尺，设弦十三根。其居中一弦设同琴制，以轸调弦。弦下面板上，借三分损益法计算结果，刻有六十律的尺度。中弦按黄钟律被校定后，操作者借助一个游标，按尺度可借刻度奏示诸律的具体音高。中弦两侧各六弦，似瑟设码柱。在中弦上弹出的十二律音高，可按六律、六吕被分别转存于侧弦奏出。《后汉书•历律志上》：“准之状如瑟，长丈而十三弦，隐间九尺应黄钟之律九寸。中央一弦下有画分寸，以为六十律清浊之节。”汉代音律制度，传统是依三分损益法和律管（竹声）来操作的。由于吹奏律管时，管口校正因素的干扰，使理论算定的律管长度，与实际效果并不相符。而利用弦则无此弊端，为此，京房创制了准。《后汉书•历律志上》：“房又曰：竹声不能度调，各作准以以定数。”京房深知，弦上取律虽能避开管口校正的弊端。但决定弦的张力也是课题。为此，京房在准的操作上加入了“缇室候气”的程序。在严密隔音的“缇室”里，将黄钟等律管斜置于特制的桌子上，律管管口内放芦苇膜烧成的葭灰。置准于律管上调中弦，当中弦频率与律管频率耦合共振时，葭灰就会就会按规律活动。中弦既定，其他诸律的音高即可借助刻度一一求得。《后汉书•历律志上》：“准之声明畅易达，分寸又粗。然弦以缓急、清浊，非管无以正也。均其中弦，令与黄钟相得，按画以求诸律，无不如数相应也。”“候气之法：为室三重，涂衅必周，密布缇缦。室中以木为案，每律各一，内庳外高，以其方位，加律其上。葭莩抑其端内，历案而候之，气至者灰动。其为气所动者，其灰散；人及风所动者，其灰聚。”京房之后，准被宫廷忽略。《后汉书•历律志上》：“元和六年，待诏候钟律。殷通上言：官无晓六十律，以准调音。”“熹平六年，东观召典律者，太子舍人张光等问准意，光等不知。归阅旧藏，乃得其器。形制如房书，犹不能定其缓急。”“其可相传者，唯太搉常数及候气之法而已。”汉代后，制准者还有后魏陈仲儒；后周王朴；宋阮逸；明朱载堉等。但形制多多有不同。参见“准2”、“通”、“律准”、“琴准”、“准琴”等。
准琴,音律律器，音高标准器。清代末产生。其形如筝，面板上设品柱三十一道，其二十四品依十二平均律尺度定位（二个八度），另七品依十二平均律高八度七声音阶定位。弦十三，籍轸按十二平均律七声音阶定音。按弦于品，即可弹奏演示诸音律的实际音高。《清朝续文献通考·乐七》：“准琴，十三弦，为弦音分度之标准器。散弦配七音二组。按音分三准，下准、中准以十二音设柱，上准以七音设柱。弦之松紧以轸司之。通长三尺六寸；首阔八寸；尾阔六寸四分；面厚一寸七分。用为乐器与琴、瑟、筝、琵相等。”
卓尼鼓,流传藏族的一种大型鼗鼓。流传西藏甘南的卓尼地区，故称。其大鼓，鼓面径50厘米，双面鼓膜，上绘图案；鼓框厚9厘米，鼓框侧按手柄长30厘米。鼓框侧按铁环一对，系耳绳，绳端缀鼓坠。持柄摇击发声。小鼓面径34厘米；鼓框厚7.5厘米，手柄长38厘米。
