nameOfInstrument,illustration
阿嘎,藏族顿地体鸣乐器，流传西藏各地。为藏族筑地的土夯……
阿吉三比,“筚总”的汉译名，彝族语音。
阿胶,用驴皮熬制而成的中药材。此处特指一小块沾水后用于涂擦笛膜孔周围以黏贴笛膜的胶黏用阿胶。参见“笛床”。
阿肯东不拉,“东不拉”的汉译名。哈萨克族称东不拉演奏高手为“阿肯”，故称。一般指传统结构的东不拉，区别经改良的乐队东不拉。参见“东不拉”。
阿腊,“土锣”的汉译名，壮族语音。
阿普筚,“葫芦笙”的汉译名，傈僳族语音。
阿乌,彝族撒马人、子君人边棱音气鸣乐器，此乐器发声“阿呜”，故称。亦称“布里拉”。流传云南昆明市郊官渡地区。构造类埙，泥捏阴干，或再焙烧，中空，形式多样。
哀笳,双簧气鸣乐器。哨子用一节芦桿压扁而制成，插于羊角尖所开孔间，无侧孔。唐·段安节《乐府杂录·鼓吹部》：“哀笳，以羊角为管，芦为头也。”唐代用于鼓吹乐，也有以羊骨为管身的，称“骨管”。
埃捷克,“艾捷克”的汉译名。维吾尔族弓弦乐器。参见“埃捷克”。
捱(挨),“轧筝”的俗称。明•田艺《留青日札•弦柱》：“捱，即筝也，形差，小名曰：捱，用竹鼓之。”
艾捷克(古),弦鸣拉弦乐器，亦称“哈尔扎克”，维吾尔族乐器。
艾捷克(现),维吾尔族、乌孜别克族弓弦乐器。20世纪50年代在传统刀朗艾捷克基础上改良的四弦艾捷克。已在新疆广泛流传，发展成高音、中音、低音系列。参见“高音艾捷克”、“中音艾捷克”、“低音艾捷克”。
安南国丐弹双韵,清高宗朝（乾隆）五十四年（公元1789年），设立宫廷十部乐。安南乐（古越南）设置的双韵，形类阮咸，阮咸亦称“月琴”。《清朝礼器图式·乐器二》：“谨按丐弹双韵即月琴……”“丐”，“丐弹”皆为越南语，意为乐器。参见“双韵”。
犴笛,“鹿哨”大的俗称。用于诱猎驼鹿（犴），故称。
暗香,传说名琴，即“驻电”。因奏琴会生幽香，故称。杨宗稷《琴学丛书·琴粹四》：“《嫏记》：陈郡荘氏女好弄琴，有琴一张曰驻电。每弄《梅花曲》，闻者皆云：有暗香。人遂称女曰：暗香女，更以“暗香”名琴。“
昂,即“葫芦笙”的汉译名，彝族语音。
奥尔惠菲察克,即“菲察克”的汉译名，锡伯族语音。
八角鼓,流传满族、白族、汉族的一种带钹手鼓。其鼓框八角形，故称。白族地区亦称“金钱鼓”。流传中国北方，云南大理、剑川等地。此器据传源于满族。明代中叶，开始流传于北京。亦传自云南白族。
巴乌,流传于云南红河、玉溪、思茅、西双版纳、临沧、德宏等地。
板胡2,广东音乐乐器。《清朝续文献通考•乐七》：“板胡，削竹槽六角形，木柄。发音清宛，活音之曲用之，亦粤乐器。”
扁鼓1,流传众多民族中，被蒙古族称“恒格勒格”、“恒格里”，藏族称“额阿”、“额穷”、“当木穷”，朝鲜族、满族称“架鼓”。
排箫,因由多根管编连而成，故名。一管一音，竖吹。“箫”字前缀以“排”是为了与单管的“箫管”相区别。《朱子语类·乐》：“今之箫管，乃古之笛，云箫方是古之箫，云箫者排箫也。”《元史》中正式称古箫为“排箫”。
节友,即一种单管的洞箫。以紫竹为材料，传统款式取其九节。节友为收藏者对洞箫的雅称。
跋膝,跋膝管的简称。《新唐书·礼乐志十二》：“文宗好雅乐”，“云韶乐有玉磬四虡，琴、瑟、筑、箫、篪、籥、跋膝、笙、竽皆一。”参见“跋膝高”。
琵琶,历史上中国琵琶的形制，演化众多，款式，纹饰各异。参见“阮咸”、“直项琵琶”、“曲项琵琶”等。
八音锣,亦称“碗锣”、“亮”、“斯依锣”。流行多地，以广西隆林，德保最盛。
巴拉满,“巴拉曼”的汉译名，维吾尔语音。
巴拉曼,维吾尔族、乌孜别克族双簧气鸣乐器。
巴朗孜库木,塔吉克族弹拨乐器的汉译名。原为宗教色彩乐器，在葬礼场合演奏。20世纪50年代，回归世俗。与维吾尔族刀朗热瓦普有渊源，构造相近。
梆子,体鸣打击乐器。
贝,唇簧气鸣乐器。
当努,即“竹筒琴”，广西瑶族田林一带称。
